,index,population_density,median_age,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Asthma Prevalence (m/f) Age-standardized,PM2.5 air pollution,Daily smoking prevalence ,Prevalence of obesity (both sexes) - WHO (2019),CFR,anomaly
140,192,104.914,31.6,5.061,25129.341,171.285,12.13,2.81,77.69,0.7909999999999999,5.192400074,37.25391764,26.5,32.1,0.02406999740024125,1
141,194,213.75900000000001,16.4,1.308,1697.707,213.333,2.5,0.5,63.37,0.516,4.655499482,73.51172275,7.8000002,5.3,0.01118205754122651,1
142,195,77.39,41.4,11.133,7894.393,539.849,7.11,8.8,72.06,0.7509999999999999,3.839527129,19.20606229,26.5,24.1,0.020678250132298463,1
145,198,35.608000000000004,38.3,9.732000000000001,54225.445999999996,151.089,10.79,2.77,78.86,0.924,5.44795411,9.196934123,15.3,36.2,0.029980004465298603,1
146,200,19.750999999999998,35.6,10.360999999999999,20551.409,160.708,6.93,2.8,77.91,0.804,5.739320305,11.52339849,22.200001,27.9,0.02558193268598444,1
147,201,76.134,28.2,2.873,6253.104,724.4169999999999,7.57,4.0,71.72,0.71,4.1547649369999995,46.691075700000006,11.2,16.6,0.008164889372453483,1
148,203,36.253,29.0,3.915,16745.022,204.85,6.47,0.8,72.06,0.7609999999999999,4.281788712,26.33118091,16.6,25.6,0.007955453003961744,1
149,204,308.127,32.6,4.718,6171.884,245.465,6.0,2.6,75.4,0.6940000000000001,4.096516832,26.28590641,20.700001,2.1,0.03308823529411764,1
151,207,22.995,17.7,1.5419999999999998,3689.2509999999997,234.49900000000002,3.94,2.0,63.89,0.588,3.748362128,30.55029496,11.4,8.1,0.022703779604022936,1
152,208,42.729,19.6,1.882,1899.775,307.846,1.82,1.7,61.49,0.535,2.98056714,24.51303497,11.3,15.5,0.02978568109618326,1
